country,region,year,gdp_growth_pct,risk_score,population_m,tam_usd_m,sam_usd_m,revenue_usd_m,entry_cost_usd_m,operating_cost_usd_m,profit_usd_m,roi_pct,market_maturity,regulatory_ease,digital_adoption_pct
Nigeria,Africa,2024,3.1,62,220,18344.65,2828.87,298.14,31.48,0.0,-31.48,-100.0,Growth,6.8,42.6
Nigeria,Africa,2025,3.1,62,220,43661.83,7168.03,529.0,35.1,0.0,0.0,0.0,Emerging,7.3,78.5
Nigeria,Africa,2026,3.1,62,220,31084.8,7603.17,689.65,9.24,0.0,0.0,0.0,Developing,5.5,55.7
Nigeria,Africa,2027,3.1,62,220,39088.26,13557.1,811.28,23.12,0.0,0.0,0.0,Emerging,4.5,40.5
Nigeria,Africa,2028,3.1,62,220,28928.1,5950.77,446.19,46.55,0.0,0.0,0.0,Growth,3.6,65.9
Nigeria,Africa,2029,3.1,62,220,31965.19,5391.01,675.8,15.64,0.0,0.0,0.0,Developing,4.3,52.1
Mexico,Latin America,2024,2.4,42,130,7550.88,2620.62,200.53,40.28,0.0,-40.28,-100.0,Developing,7.2,70.2
Mexico,Latin America,2025,2.4,42,130,22659.11,5604.37,386.64,14.8,0.0,0.0,0.0,Growth,6.3,71.1
Mexico,Latin America,2026,2.4,42,130,8051.83,2017.55,272.92,12.08,0.0,0.0,0.0,Emerging,8.1,33.8
Mexico,Latin America,2027,2.4,42,130,8706.29,2009.02,289.62,30.64,0.0,0.0,0.0,Emerging,6.7,53.1
Mexico,Latin America,2028,2.4,42,130,19705.83,6639.71,467.61,37.23,0.0,0.0,0.0,Developing,3.8,65.5
Mexico,Latin America,2029,2.4,42,130,18101.37,6102.82,310.83,32.95,0.0,0.0,0.0,Emerging,3.4,41.7
Indonesia,Asia Pacific,2024,5.3,40,275,25759.21,8401.96,1158.86,21.63,0.0,-21.63,-100.0,Growth,7.2,63.6
Indonesia,Asia Pacific,2025,5.3,40,275,58243.67,8827.68,1162.7,18.47,0.0,0.0,0.0,Emerging,4.6,78.9
Indonesia,Asia Pacific,2026,5.3,40,275,47507.75,9803.28,696.65,20.43,0.0,0.0,0.0,Developing,6.0,43.8
Indonesia,Asia Pacific,2027,5.3,40,275,57107.46,15810.59,2101.78,6.98,0.0,0.0,0.01,Emerging,6.8,44.4
Indonesia,Asia Pacific,2028,5.3,40,275,54778.29,12902.34,657.59,8.39,0.0,0.0,0.0,Emerging,6.3,75.9
Indonesia,Asia Pacific,2029,5.3,40,275,47187.65,8280.92,669.31,45.45,0.0,0.0,0.0,Emerging,8.4,41.6
Egypt,Middle East,2024,4.2,55,105,8815.45,2697.73,373.4,23.29,0.0,-23.29,-100.0,Emerging,8.6,43.0
Egypt,Middle East,2025,4.2,55,105,8381.43,1554.0,141.77,13.07,0.0,0.0,0.0,Developing,7.8,77.5
Egypt,Middle East,2026,4.2,55,105,19108.47,5875.38,357.28,44.25,0.0,0.0,0.0,Emerging,4.2,80.5
Egypt,Middle East,2027,4.2,55,105,12560.34,4072.87,294.44,34.7,0.0,0.0,0.0,Developing,8.2,83.2
Egypt,Middle East,2028,4.2,55,105,11532.66,2651.77,392.77,29.13,0.0,0.0,0.0,Emerging,8.3,44.4
Egypt,Middle East,2029,4.2,55,105,18536.9,2922.37,320.46,20.56,0.0,0.0,0.0,Developing,6.6,58.1
Philippines,Asia Pacific,2024,6.1,37,115,12489.55,2509.71,303.37,5.08,0.0,-5.08,-100.0,Growth,7.1,81.7
Philippines,Asia Pacific,2025,6.1,37,115,18996.68,4488.15,650.28,46.43,0.0,0.0,0.0,Growth,8.1,69.6
Philippines,Asia Pacific,2026,6.1,37,115,12070.09,2796.38,252.35,18.3,0.0,0.0,0.0,Developing,7.0,50.9
Philippines,Asia Pacific,2027,6.1,37,115,21555.41,5686.77,515.26,42.52,0.0,0.0,0.0,Emerging,5.6,61.9
Philippines,Asia Pacific,2028,6.1,37,115,21522.93,5131.76,366.25,26.29,0.0,0.0,0.0,Growth,4.0,34.7
Philippines,Asia Pacific,2029,6.1,37,115,19948.0,4329.47,570.81,38.8,0.0,0.0,0.0,Emerging,7.8,38.1
Colombia,Latin America,2024,2.8,48,52,3103.73,845.01,107.19,25.49,0.0,-25.49,-100.0,Growth,4.2,68.3
Colombia,Latin America,2025,2.8,48,52,6467.0,1818.6,91.94,38.79,0.0,0.0,0.0,Emerging,7.7,42.0
Colombia,Latin America,2026,2.8,48,52,9559.53,2322.11,245.54,46.29,0.0,0.0,0.0,Emerging,7.8,66.7
Colombia,Latin America,2027,2.8,48,52,11302.56,3842.96,534.72,32.57,0.0,0.0,0.0,Growth,5.6,79.9
Colombia,Latin America,2028,2.8,48,52,6556.64,2113.2,200.77,38.83,0.0,0.0,0.0,Developing,7.6,58.7
Colombia,Latin America,2029,2.8,48,52,8403.64,1390.77,109.28,17.23,0.0,0.0,0.0,Growth,3.5,38.3
Kenya,Africa,2024,5.5,50,55,5704.85,1099.84,100.62,19.89,0.0,-19.89,-100.0,Emerging,4.2,53.1
Kenya,Africa,2025,5.5,50,55,10867.35,3141.8,426.26,39.45,0.0,0.0,0.0,Emerging,8.7,46.4
Kenya,Africa,2026,5.5,50,55,6901.98,2188.93,227.26,38.06,0.0,0.0,0.0,Emerging,5.9,45.0
Kenya,Africa,2027,5.5,50,55,7845.64,2226.39,289.02,37.59,0.0,0.0,0.0,Emerging,8.9,59.4
Kenya,Africa,2028,5.5,50,55,12792.34,3615.11,211.1,24.29,0.0,0.0,0.0,Emerging,3.3,50.9
Kenya,Africa,2029,5.5,50,55,5774.6,1745.35,153.44,38.84,0.0,0.0,0.0,Developing,8.0,55.9
Morocco,Africa,2024,3.8,44,37,5738.02,1953.13,141.45,8.09,0.0,-8.09,-100.0,Emerging,7.5,82.2
Morocco,Africa,2025,3.8,44,37,2921.61,527.28,33.02,35.13,0.0,0.0,0.0,Emerging,5.8,44.1
Morocco,Africa,2026,3.8,44,37,4243.66,1454.5,177.21,40.0,0.0,0.0,0.0,Developing,3.6,31.4
Morocco,Africa,2027,3.8,44,37,4076.38,1392.63,124.87,37.18,0.0,0.0,0.0,Growth,8.0,43.4
Morocco,Africa,2028,3.8,44,37,6507.85,1866.79,243.71,40.83,0.0,0.0,0.0,Emerging,5.1,53.6
Morocco,Africa,2029,3.8,44,37,4710.34,1028.01,138.74,42.0,0.0,0.0,0.0,Developing,6.8,75.6
Thailand,Asia Pacific,2024,3.5,36,72,11166.43,3313.74,485.62,17.15,0.0,-17.15,-100.0,Growth,7.6,55.6
Thailand,Asia Pacific,2025,3.5,36,72,13075.87,2804.26,209.06,47.06,0.0,0.0,0.0,Developing,4.5,55.6
Thailand,Asia Pacific,2026,3.5,36,72,10785.36,1679.71,226.92,13.18,0.0,0.0,0.0,Developing,5.0,78.4
Thailand,Asia Pacific,2027,3.5,36,72,12110.32,1841.13,266.61,8.85,0.0,0.0,0.0,Developing,6.3,43.2
Thailand,Asia Pacific,2028,3.5,36,72,10243.93,2454.8,126.97,18.24,0.0,0.0,0.0,Emerging,4.8,62.0
Thailand,Asia Pacific,2029,3.5,36,72,10378.18,2439.92,304.0,19.89,0.0,0.0,0.0,Developing,4.8,42.7
